NODE,LABEL,VALUE
43842,1,0.00810736
43840,1,0.00843097
44361,1,0.00800076
43738,1,0.00831056
43742,1,0.00814855
43492,1,-0.00106978
43452,1,-0.00105601
43454,1,-0.00096788
43443,1,-0.00096788
43445,1,-0.00092697
43442,1,-0.00091438
44163,1,-0.00095414
43818,1,-0.00094101
43820,1,-0.00095282
43817,1,-0.00095062
43936,1,-0.00096427
43934,1,-0.00095517
44429,1,-0.00095959
44089,1,-0.00095735
44091,1,-0.00095959
44088,1,-0.000955
44377,1,-0.00095054
44376,1,-0.00094597
44491,1,-0.00093486
43632,1,-0.00093708
43637,1,-0.00091709
43634,1,-0.00091709
43947,1,-0.00089941
43945,1,-0.0008972
44096,1,-0.00087305
43651,1,-0.00087085
43653,1,-0.00084446
43650,1,-0.00084034
43848,1,-0.00081189
43644,1,-0.00081189
43649,1,-0.00077525
43646,1,-0.0007736
44132,1,-0.00073676
44129,1,-0.00073893
44205,1,-0.00069861
43849,1,-0.00069861
43854,1,-0.00065866
43851,1,-0.00065537
44363,1,-0.00061172
43855,1,-0.00061384
43857,1,-0.00057059
43679,1,-0.0005677
43972,1,-0.00052564
43858,1,-0.00052505
43863,1,-0.00048282
43860,1,-0.00048033
43994,1,-0.00043892
43692,1,-0.00043665
43869,1,-0.00039545
43867,1,-0.00039337
43999,1,-0.00035261
43791,1,-0.00035075
43792,1,-0.00031058
43684,1,-0.00031058
43794,1,-0.00026881
43711,1,-0.00026937
43881,1,-0.00023145
43698,1,-0.00023145
43703,1,-0.00019554
43816,3,-0.00637366
43697,3,-0.00349523
43801,3,-0.00061719
43800,3,0.0022628
43880,3,0.00525488
43870,3,0.00813907
43874,3,0.01104217
43871,3,0.01104331
44001,3,0.01385007
43768,3,0.01664248
43772,3,0.01935817
43769,3,0.02204968
44143,3,0.02208167
43785,3,0.02467342
43790,3,0.02730748
43787,3,0.02730466
43992,3,0.02983637
43673,3,0.03233473
43779,3,0.03477262
43774,3,0.03476904
43980,3,0.03732118
43763,3,0.03971891
43767,3,0.03976796
43744,3,0.04206427
43746,3,0.04389372
43743,3,0.04389372
44448,3,0.04681894
44193,3,0.04912313
44196,3,0.04917355
43734,3,0.05148056
43736,3,0.05383768
43733,3,0.05384319
43842,3,0.05620527
43840,3,0.05840734
44361,3,0.05847306
43738,3,0.06077638
43742,3,0.06314162
43492,3,0.02485243
43452,3,0.02452997
43454,3,0.02398706
43443,3,0.02398706
43445,3,0.02356299
43442,3,0.02324313
44163,3,0.02324313
43818,3,0.02292327
43820,3,0.02270775
43817,3,0.02260114
43936,3,0.02259886
43934,3,0.02238792
44429,3,0.02228131
44089,3,0.02227907
44091,3,0.02228131
44088,3,0.0221747
44377,3,0.02217247
44376,3,0.02206809
44491,3,0.02206809
43632,3,0.02206809
43637,3,0.02196148
43634,3,0.02196148
43947,3,0.02196369
43945,3,0.02196148
44096,3,0.02185707
43651,3,0.02185707
43653,3,0.02185927
43650,3,0.02175045
43848,3,0.02175264
43644,3,0.02175264
43649,3,0.02164601
43646,3,0.02153938
44132,3,0.02154155
44129,3,0.02154155
44205,3,0.02143491
43849,3,0.02143706
43854,3,0.02133041
43851,3,0.02122376
44363,3,0.02111923
43855,3,0.02111923
43857,3,0.02101257
43679,3,0.0209059
43972,3,0.02090801
43858,3,0.02080133
43863,3,0.02069466
43860,3,0.02058799
43994,3,0.02059006
43692,3,0.02048131
43869,3,0.02037874
43867,3,0.02027
43999,3,0.02027
43791,3,0.02016332
43792,3,0.02005865
43684,3,0.02005865
43794,3,0.01995196
43711,3,0.01984526
43881,3,0.01984526
43698,3,0.01984526
43703,3,0.01985524
44952,1,-0.00165211
44843,1,-0.00090636
45010,1,-0.00015557
44935,1,0.00057042
45008,1,0.00128623
44999,1,0.00199239
45003,1,0.00262395
45000,1,0.00262395
45161,1,0.00319263
44909,1,0.00383765
44910,1,0.004325
44908,1,0.00492633
45258,1,0.00477781
44924,1,0.00533859
44926,1,0.00567366
44923,1,0.00567366
