ELEMENT,Surface,Cpv
517,P,-16.25204736
518,P,-12.71199744
519,P,-12.71199744
520,P,-12.71199744
521,P,-38.6187264
522,P,-16.25204736
523,P,-17.00296704
524,P,-32.02136064
525,P,-24.78034944
526,P,-12.76563456
527,P,-12.71199744
528,P,-15.07203072
529,P,-15.66203904
530,P,-12.76563456
531,P,-16.25204736
532,P,-35.1323136
533,P,-42.31968768
534,P,-42.31968768
535,P,-12.8729088
536,P,-12.98018304
537,P,-12.81927168
538,P,-12.76563456
539,P,-13.08745728
540,P,-12.98018304
541,P,-24.78034944
542,P,-32.02136064
543,P,-38.6187264
544,P,-15.07203072
545,P,-15.66203904
546,P,-14.64293376
547,P,-14.64293376
548,P,-18.88026624
549,P,-17.00296704
550,P,-17.86116096
551,P,-17.00296704
552,P,-15.07203072
553,P,-17.86116096
554,P,-16.25204736
555,P,-12.71199744
556,P,-15.07203072
557,P,-12.71199744
558,P,-12.71199744
559,P,-12.71199744
560,P,-12.71199744
561,P,-12.71199744
562,P,-13.89201408
563,P,-13.89201408
564,P,-13.89201408
565,P,-12.71199744
566,P,-12.71199744
567,P,-12.71199744
568,P,-12.71199744
569,P,-12.71199744
570,P,-12.71199744
571,P,-17.86116096
572,P,-16.25204736
573,P,-17.86116096
574,P,-17.00296704
575,P,-29.28586752
576,P,-35.1323136
577,P,-35.1323136
578,P,-38.6187264
579,P,-13.24836864
580,P,-38.6187264
581,P,-35.1323136
582,P,-38.6187264
583,P,-35.1323136
584,P,-13.62382848
585,P,-24.78034944
586,P,-22.95668736
587,P,-14.64293376
588,P,-15.66203904
589,P,-16.25204736
590,P,-20.06028288
591,P,-17.86116096
592,P,-38.6187264
593,P,-12.71199744
594,P,-12.76563456
595,P,-15.07203072
596,P,-24.78034944
597,P,-22.95668736
598,P,-12.71199744
599,P,-16.19841024
600,P,-53.63712
601,P,-16.19841024
602,P,-16.19841024
603,P,-51.38436096
604,P,-16.19841024
605,P,-51.38436096
606,P,-16.19841024
607,P,-16.19841024
608,P,-12.71199744
609,P,-20.06028288
610,P,-20.06028288
611,P,-18.88026624
612,P,-17.00296704
613,P,-12.71199744
614,P,-12.71199744
615,P,-12.71199744
616,P,-14.26747392
617,P,-14.26747392
618,P,-13.24836864
619,P,-12.71199744
620,P,-12.71199744
621,P,-12.71199744
622,P,-22.95668736
623,P,-22.95668736
624,P,-24.78034944
625,P,-13.89201408
626,P,-13.62382848
